Archer,SUPPORT,4,100%,20,2.8,0.5,7.3,2.7,336,27.1
,,,,,,,,,,
Archer,ADC,17,58.80%,4.7,3.8,2.2,6.4,9.6,442,30.4
,,,,,,,,,,
Aria,MID,25,44%,5.5,4.3,1.7,4.9,9.1,416,30.8
,,,,,,,,,,
Armut,TOP,16,62.50%,3.5,3.8,2.5,4.9,8.4,425,27.4
,,,,,,,,,,
Art,ADC,19,47.40%,4,4.2,2.2,4.3,9.7,430,32.8
,,,,,,,,,,
Artek,SUPPORT,9,22.20%,1.1,0.4,3.3,3.2,0.9,207,7.5
,,,,,,,,,,
Artemis,ADC,34,50%,4,4.2,2.6,6.4,10,464,28.7
,,,,,,,,,,
Artifact,MID,34,58.80%,3.3,3.6,2.7,5.3,8.4,409,25.4
,,,,,,,,,,
As6,JUNGLE,9,11.10%,1.4,1.3,4.1,4.6,4.5,282,12
,,,,,,,,,,
Asper,SUPPORT,5,80%,3.6,0.6,2.4,8,0.9,236,7
,,,,,,,,,,
Assassin,MID,21,42.90%,2.8,3.7,3.2,5.3,7.8,382,27.5
,,,,,,,,,,
Astra,SUPPORT,2,0%,0.7,0,4.5,3,1.3,213,10
,,,,,,,,,,
Asura,SUPPORT,4,75%,14.7,2.8,0.8,8.3,2,303,33.6
,,,,,,,,,,
Asura,ADC,22,36.40%,2.7,3.8,3.3,5.2,8.8,412,30.3
,,,,,,,,,,
Asza,ADC,18,44.40%,3.6,3.5,2.3,4.9,9.1,426,27
,,,,,,,,,,
Atlen,ADC,21,42.90%,3.8,2.8,2.5,6.8,9.2,416,27
,,,,,,,,,,
Attila,ADC,21,81%,11.8,5.1,0.9,5,10.5,488,32.5
,,,,,,,,,,
Attila,SUPPORT,5,80%,13.6,4.4,1,9.2,2.3,337,24.5
,,,,,,,,,,
Azhi,TOP,24,50%,3.1,3.5,2.8,4.9,7.5,378,22.6
,,,,,,,,,,
Aziado,TOP,23,56.50%,3.2,1.7,2,4.6,7.4,351,20.6
,,,,,,,,,,
BOSS,TOP,15,86.70%,5.5,3.6,1.8,6.3,7.1,390,19.7
,,,,,,,,,,
Babip,JUNGLE,25,84%,5.7,3.2,2,8,5.2,347,11.7
,,,,,,,,,,
Baca,MID,23,56.50%,4.9,3.3,1.6,4.3,8,378,23.7
,,,,,,,,,,
Backlund,MID,12,41.70%,4,4.3,2.1,4.2,8.6,395,28.1
,,,,,,,,,,
BadPie,TOP,24,54.20%,2.1,2.5,3.3,4.3,7.7,379,22.2
,,,,,,,,,,
Bakako,JUNGLE,19,36.80%,2,1.8,3.4,5.2,5,297,13.2
,,,,,,,,,,
BalKhan,JUNGLE,9,22.20%,2.2,3.6,4.4,6.2,5.6,334,24.2
,,,,,,,,,,
Bananitoo,ADC,6,50%,4.6,5.2,2.3,5.5,8.9,435,23.1
,,,,,,,,,,
Bando,TOP,17,70.60%,3.5,3.7,2.7,5.8,7.8,415,25.9
,,,,,,,,,,
Bang,SUPPORT,2,100%,-,4.5,0,11.5,2.7,336,26.1
,,,,,,,,,,
Bang,ADC,25,52%,5,3.3,1.6,4.5,9.3,420,29.6
,,,,,,,,,,
Barcode,ADC,18,27.80%,4.1,3.1,1.6,3.6,9.4,412,25.7
,,,,,,,,,,
Bas,JUNGLE,21,19%,2.1,2,3,4.5,5,301,16.5
,,,,,,,,,,
Baula,SUPPORT,13,15.40%,2.5,0.5,2.8,6.5,1,212,7.5
,,,,,,,,,,
Baula,ADC,1,0%,2,0,1,2,5.8,289,6.5
,,,,,,,,,,
Bdd,MID,41,70.70%,7.2,3.4,1.3,5.9,8.4,393,27.1
,,,,,,,,,,
BeBopBulli,SUPPORT,6,33.30%,3,0.8,4.5,12.5,1.1,235,8.6
,,,,,,,,,,
Bean,SUPPORT,2,100%,6.8,3,2,10.5,1.8,293,16.4
,,,,,,,,,,
Bean,ADC,18,50%,6.9,4.4,1.3,4.4,9.3,432,25.9
,,,,,,,,,,
Beansu,TOP,29,72.40%,4,1.9,1.9,5.7,8,384,19.3
,,,,,,,,,,
Beats,MID,5,40%,3,1.2,2.6,6.6,6.9,331,23.8
,,,,,,,,,,
Beats,TOP,9,22.20%,1.8,1.4,4,5.7,6,308,17.1
,,,,,,,,,,
Ben,SUPPORT,2,0%,0.7,0,4.5,3,0.8,197,12.7
,,,,,,,,,,
BeryL,ADC,4,100%,5.9,2.5,1.8,7.8,6.5,371,20
,,,,,,,,,,
BeryL,SUPPORT,23,47.80%,3.1,0.3,2.7,8,1.2,227,7
,,,,,,,,,,
BetaTwinz,SUPPORT,6,16.70%,1.4,0.2,3,4.2,1,206,4.7
,,,,,,,,,,
Betty,ADC,28,57.10%,6.4,4.3,1.5,5.1,9.7,445,27.7
,,,,,,,,,,
Betty,SUPPORT,5,60%,5.2,3.6,2.4,8.8,2.3,280,20.1
,,,,,,,,,,
Beyond,JUNGLE,6,50%,7.8,1.8,1,6,5.2,318,10.2
,,,,,,,,,,
Bgob,JUNGLE,6,0%,1.4,1.7,4.5,4.7,4.7,288,13.5
,,,,,,,,,,
Bie,SUPPORT,45,51.10%,3.6,0.7,2.5,8.4,1.1,234,8
,,,,,,,,,,
BigKoro,ADC,28,42.90%,3.1,2.7,2.3,4.4,8.8,401,22.9
,,,,,,,,,,
BigKoro,SUPPORT,6,33.30%,5.5,1.7,2,9.3,1.7,275,20.7
,,,,,,,,,,
Bin,TOP,16,37.50%,2.2,2.6,3.6,5.1,7.7,374,22
,,,,,,,,,,
BioPanther,TOP,21,33.30%,2.5,1.2,2.2,4.3,7.3,337,19.9
,,,,,,,,,,
Biob,JUNGLE,2,0%,1.7,2.5,4.5,5,3.7,284,13.1
,,,,,,,,,,
Biob,SUPPORT,14,28.60%,3.1,0.6,3.5,10.1,1,231,8.5
,,,,,,,,,,
Biofrost,SUPPORT,28,50%,3.6,0.7,2.1,6.8,1.1,226,7
,,,,,,,,,,
Biubiu,TOP,22,50%,2.7,2.4,3.3,6.5,6.6,349,18.5
,,,,,,,,,,
Bjergsen,MID,28,50%,5.8,3.5,1.4,4.8,8.4,389,27.4
,,,,,,,,,,
Blaber,JUNGLE,25,92%,5.9,4.1,2,7.7,6.2,375,18.1
,,,,,,,,,,
Black,ADC,12,66.70%,4.9,4.1,2.5,8.2,9,427,28.2
,,,,,,,,,,
Blazes,SUPPORT,4,75%,8.2,1,1.5,11.3,1.9,285,21.1
,,,,,,,,,,
Blazes,ADC,24,87.50%,5.1,4.2,2.3,7.4,9.2,444,25.6
,,,,,,,,,,
Bless,JUNGLE,4,0%,0.9,0.5,3.8,3,4.5,254,8.7
,,,,,,,,,,
Blizz,MID,28,67.90%,4.7,4.4,2.1,5.5,7.7,390,25.2
,,,,,,,,,,
